first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
03/05/2020,09/05/2020,40-44,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,40-44,נקבה,2436,7,0,,,,
03/05/2020,09/05/2020,40-44,זכר,1647,7,7,,,,
03/05/2020,09/05/2020,45-49,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,45-49,נקבה,1854,7,0,,,,
03/05/2020,09/05/2020,45-49,זכר,1586,7,0,,,,
03/05/2020,09/05/2020,50-54,זכר,1253,7,0,,,,
03/05/2020,09/05/2020,50-54,נקבה,1676,7,0,,,,
03/05/2020,09/05/2020,50-54,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,55-59,זכר,1049,7,0,,,,
03/05/2020,09/05/2020,55-59,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,55-59,נקבה,1551,7,0,,,,
03/05/2020,09/05/2020,60-64,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,60-64,זכר,1063,7,7,,,,
03/05/2020,09/05/2020,60-64,נקבה,1352,7,0,,,,
03/05/2020,09/05/2020,65-69,נקבה,1089,7,0,,,,
03/05/2020,09/05/2020,65-69,זכר,997,7,7,,,,
03/05/2020,09/05/2020,65-69,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,70-74,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,70-74,זכר,933,7,7,,,,
03/05/2020,09/05/2020,70-74,נקבה,1093,7,0,,,,
03/05/2020,09/05/2020,75-79,זכר,720,7,7,,,,
03/05/2020,09/05/2020,75-79,נקבה,922,7,7,,,,
03/05/2020,09/05/2020,75-79,לא ידוע,7,0,0,,,,
03/05/2020,09/05/2020,80+,זכר,2169,7,7,,,,
03/05/2020,09/05/2020,80+,נקבה,4814,7,7,,,,
03/05/2020,09/05/2020,80+,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,0-19,זכר,2325,23,0,,,,
10/05/2020,16/05/2020,0-19,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,0-19,נקבה,1871,25,0,,,,
10/05/2020,16/05/2020,20-24,זכר,1175,7,0,,,,
10/05/2020,16/05/2020,20-24,לא ידוע,0,0,0,,,,
10/05/2020,16/05/2020,20-24,נקבה,1409,7,0,,,,
10/05/2020,16/05/2020,25-29,זכר,1183,7,0,,,,
10/05/2020,16/05/2020,25-29,נקבה,1639,7,0,,,,
10/05/2020,16/05/2020,25-29,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,30-34,זכר,1206,7,0,,,,
10/05/2020,16/05/2020,30-34,נקבה,1665,7,0,,,,
10/05/2020,16/05/2020,30-34,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,35-39,זכר,1203,7,0,,,,
10/05/2020,16/05/2020,35-39,לא ידוע,15,0,0,,,,
10/05/2020,16/05/2020,35-39,נקבה,1784,7,0,,,,
10/05/2020,16/05/2020,40-44,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,40-44,נקבה,1850,7,0,,,,
10/05/2020,16/05/2020,40-44,זכר,1141,7,0,,,,
10/05/2020,16/05/2020,45-49,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,45-49,נקבה,1421,7,0,,,,
10/05/2020,16/05/2020,45-49,זכר,1024,7,7,,,,
10/05/2020,16/05/2020,50-54,זכר,823,7,0,,,,
10/05/2020,16/05/2020,50-54,נקבה,1181,7,7,,,,
10/05/2020,16/05/2020,50-54,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,55-59,זכר,729,7,7,,,,
10/05/2020,16/05/2020,55-59,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,55-59,נקבה,1165,7,0,,,,
10/05/2020,16/05/2020,60-64,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,60-64,זכר,808,7,7,,,,
10/05/2020,16/05/2020,60-64,נקבה,1105,7,0,,,,
10/05/2020,16/05/2020,65-69,נקבה,1069,7,0,,,,
10/05/2020,16/05/2020,65-69,זכר,829,7,0,,,,
10/05/2020,16/05/2020,65-69,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,70-74,לא ידוע,7,0,0,,,,
10/05/2020,16/05/2020,70-74,זכר,903,7,7,,,,
10/05/2020,16/05/2020,70-74,נקבה,1119,7,0,,,,
10/05/2020,16/05/2020,75-79,זכר,606,7,7,,,,
10/05/2020,16/05/2020,75-79,נקבה,854,7,7,,,,
10/05/2020,16/05/2020,75-79,לא ידוע,7,0,0,,,,
